Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms),Swimming duration (ms),Paced walking duration (ms)
2020-02-12,35,1709.9031647903844,2789.1188285946846,21.0,21,68.9261119081779,94.0,48.0,43.3149666,21.8960259,43.3204887,21.9031771,0.544747286027943,2.448758840560913,0.0,4053,,,,,62035922,3260496,81634,,,
2020-02-13,206,2106.1030183143916,13030.152874799445,42.0,42,80.03571428571429,108.0,60.0,43.3120076,20.413666,44.7760147,21.8987312,6.866179434072045,108.0,0.0,17537,,,,,25714389,18393682,1080000,,,
2020-02-14,42,2025.8111401276662,3271.354241847992,4.0,4,60.9392789373814,81.0,52.0,44.7492114,20.407613,44.7526592,20.4112861,0.5308753095236102,3.552845001220703,0.013351254165172577,4257,,,,,54223218,5371624,2520000,,,
2020-02-15,220,2004.1799038984814,15695.590796351433,77.0,73,80.70161290322581,95.0,61.0,44.74858,20.3887002,44.8437,20.45853,0.8598838870160072,23.67806625366211,0.0,19931,,,,,38967166,20290343,1020000,,,
2020-02-16,15,1836.1017165072133,1347.7287378311157,2.0,2,75.18867924528301,94.0,63.0,44.7501863,20.4106194,44.7622466,20.4154827,0.5359656258758723,5.0,0.013759690336883068,2451,,,,,49524272,5936286,240000,,,
2020-02-17,215,2779.9213087374155,20299.625340563292,118.0,118,68.66216216216216,94.0,56.0,44.7501198,20.4110414,44.8736479,20.6587008,1.1888368984125748,61.78802490234375,0.008877373300492764,21952,,,,,33338857,19014622,2034917,,,
2020-02-18,137,2157.5764099870194,10974.548421221738,65.0,64,65.3389199255121,94.0,61.0,44.7475347,20.403765,44.7983202,20.4536119,0.6897432976122896,18.46858024597168,0.013071895577013493,13712,,,,,64096881,8857367,1620000,,,
2020-02-19,25,2355.9381759850066,1620.9890756607056,8.0,8,77.96774193548387,86.0,58.0,44.7500956,20.4107557,44.7502765,20.411074,0.39596432929208264,3.3943169116973877,0.0,3127,,,,,42937226,14562506,1471941,,,
2020-02-20,33,1971.18226038934,2446.8637590408325,7.0,7,77.42142857142858,106.0,70.0,44.7490804,20.4098802,44.7502289,20.4113877,1.0314767507434637,7.002140045166016,0.0,3985,,,,,47000643,8700000,1800000,,,
2020-02-21,80,1557.5683076509586,4929.622998476028,21.0,21,74.07516891891892,95.0,55.0,44.7494819,20.4103884,44.7886858,20.4195456,0.6406962383609481,12.221782684326172,0.0,6546,,,,522912,48216088,7938930,3738750,,,
2020-02-22,108,1663.2952177728837,8658.751875758171,62.0,62,71.34566596194503,106.0,45.0,44.7480583,20.4033834,44.8187011,20.4763296,0.6367749034548336,40.0,0.0,11498,,,,,41301005,8980866,600000,,,
2020-02-23,47,1853.529468187069,4914.437271118164,46.0,46,66.4022206303725,105.0,48.0,44.7478167,20.400656,44.7537448,20.4110617,0.4013682231134879,3.2440383434295654,0.0,6700,65.0,65.0,65.0,,47649720,7261181,1260000,,,
2020-02-24,88,1821.6385653678171,7479.346387252212,60.0,60,74.09867172675521,118.0,55.0,44.7477682,20.4004368,44.7680297,20.4125863,1.1002843343738626,4.29288387298584,0.005045045167207718,11335,,,,,39537636,8209267,,,,
2020-02-25,118,2030.1147575810553,9359.383611366153,93.0,93,75.40625,94.0,58.0,44.7474621,20.4006837,44.7670539,20.4156439,0.6147801192335874,3.652392864227295,0.010833333246409893,12718,,,,,58683809,9361558,240000,,,
2020-02-26,93,2053.259129182127,6906.44405952096,46.0,46,77.60416666666667,118.0,63.0,44.7477843,20.4005719,44.7584426,20.4131288,0.3783601322977208,2.6263070106506348,0.0,9197,,,,113721,40388728,9631250,1740000,,,
2020-02-27,36,1697.2792015595373,3914.4636658132076,28.0,28,76.83180987202925,118.0,55.0,44.7464952,20.4088385,44.7505064,20.4123031,0.42422858903249805,3.7055304050445557,0.0058823530562222,4482,,,,,50798854,4848217,960000,,,
2020-02-28,20,1842.4938442997916,1785.2792890965939,7.0,7,74.51612903225806,78.0,61.0,44.747856,20.4088299,44.7502997,20.41235,0.4946540324606634,7.8910064697265625,0.008571428246796131,2524,,,,,49233250,4113271,840000,,,
2020-02-29,152,2239.049706820727,11208.8590355739,60.0,60,76.15625,94.0,56.0,44.7281148,20.3827348,44.7510477,20.4123612,0.4606965450844083,3.5529911518096924,0.0,13510,,,,,47817950,10197058,1560000,,,
2020-03-01,69,2346.5249960524734,6158.459424644709,43.0,43,81.29545454545455,95.0,63.0,44.7469001,20.4006033,44.7524008,20.4124744,0.39617627155731033,4.382151126861572,0.028411053121089935,8705,,,,,45705065,10832265,2220000,,,
2020-03-02,86,1863.1458085568652,6199.662622928619,38.0,38,81.61458333333333,117.0,68.0,44.7487535,20.4103127,44.8192024,20.4609218,1.0478013690686507,3.305595636367798,0.017893660813570023,8837,,,,,47315592,6643968,738509,,,
2020-03-03,48,1799.034900759806,3923.9854387044907,29.0,29,75.12,94.0,66.0,44.7492398,20.405494,44.7549932,20.4139868,0.662888737724184,7.130416393280029,0.0,5399,,,,,49012695,4610198,2580000,,,
2020-03-04,52,1724.0126228249321,4146.401000380516,31.0,31,76.99056603773585,94.0,69.0,44.7477659,20.4006523,44.7520183,20.4109801,0.37933932503091866,1.6199867725372314,0.003703703638166189,5772,,,,,61492570,3944147,,,,
2020-03-05,101,2034.7644436522226,9413.457052327693,63.0,63,81.9186046511628,125.0,70.0,44.7467155,20.4002274,44.7806987,20.4113248,0.675015340806903,15.457921981811523,0.023106060922145844,11693,,,,,39498453,9842301,1140000,,,
2020-03-06,34,1808.8101513148758,3289.018463432789,22.0,22,79.80882352941177,93.0,48.0,44.7476204,20.4035317,44.751196,20.4117391,0.34617608295892766,3.8385233879089355,0.0,3913,,,,,52143652,4747676,360000,,,
2020-03-07,60,1755.9121529711012,4764.128019720316,36.0,36,74.1103500761035,81.0,48.0,44.7493036,20.4068887,44.775066,20.4144112,0.3830518450185743,7.686885356903076,0.0,6237,,,,,46604681,5732798,60287,,,
2020-03-08,60,1735.4336011326843,4463.965255975723,38.0,38,73.61631419939577,94.0,57.0,44.7481523,20.4083211,44.7481523,20.4083211,0.44485178302544093,1.5983556509017944,0.016203703358769417,6335,,,,,53263062,4133018,317735,,,
2020-03-09,33,1662.4000351142874,2934.5663603544235,18.0,17,66.90625,94.0,46.0,44.748911,20.410109,44.7503527,20.4124532,0.33249108484791756,2.8522307872772217,0.007088353391736746,3639,,,,,59649422,2678995,60668,,,
2020-03-10,24,1703.5617744121887,2224.7429336607456,12.0,12,66.20722713864306,93.0,50.0,44.7489752,20.4101585,44.7502766,20.4124637,0.43446168902264876,4.173212051391602,0.0,2860,,,,,57040965,2723755,419077,,,
2020-03-11,173,2241.2105210225154,12298.308950155973,66.0,66,75.59821428571429,101.0,58.0,44.747827,20.4000586,44.7694201,20.4147809,0.4891485148853951,3.9596762657165527,0.0,16498,,,,,45347876,12738876,2580000,,,
2020-03-12,46,1966.324980990057,2941.8991742134094,26.0,26,74.37837837837837,95.0,63.0,,,,,0.579687986711749,1.609185814857483,0.002888888819143176,4588,,,,,50451995,4562454,1698347,,,
2020-03-13,41,1656.9148415818945,3769.1857709884644,18.0,18,73.20723014256619,109.0,48.0,44.7466487,20.4092504,44.7502864,20.4118072,0.5183390708479082,6.406252861022949,0.0,5069,,,,,49126867,5091642,,,,
2020-03-14,61,1700.80686702173,4170.1783854961395,31.0,31,61.394052044609666,109.0,46.0,44.8141374,20.4573845,44.8159934,20.4614311,0.5212538606571749,13.150089263916016,0.0030693677254021168,6600,,,,,44116689,3270495,,,,
2020-03-15,57,1809.3765224971821,4139.634621977806,29.0,29,66.97042253521127,94.0,48.0,44.7484892,20.4093099,44.7891178,20.4178811,0.43820103372504926,1.4766769409179688,0.04549878463149071,6361,,,,,47598246,3963810,772568,,,
2020-03-16,125,2099.2948910079504,9289.543101489544,81.0,81,78.2,95.0,70.0,44.7477007,20.408701,44.7603702,20.4378793,0.5797723294528607,5.190819263458252,0.02804877981543541,12772,,,,,45466145,9301788,780000,,,
2020-03-17,169,1972.043740850687,12239.904732123017,89.0,89,82.78048780487805,108.0,68.0,44.7478663,20.4034245,44.769343,20.4130586,0.6080024902359107,11.784775733947754,0.00624999962747097,16747,,,,,45669140,11758934,,,,
2020-03-18,116,2043.7913953365758,10233.626277446747,81.0,80,69.81343283582089,94.0,41.0,44.7406833,20.4072842,44.7503371,20.4436918,0.5463239208361212,5.482346534729004,0.004938271827995777,11623,,,,,51289398,10009860,,,,
2020-03-19,25,1736.1945991510536,2115.6448776721954,10.0,10,61.351150202976996,79.0,48.0,44.7467494,20.4085889,44.7502712,20.4107855,0.3073276988700251,4.57119607925415,0.0,2556,,,,,53446733,3966410,,,,
2020-03-20,2,1662.64368395735,453.11587047576904,,,76.32,94.0,63.0,,,,,0.15702836803838705,0.4464418292045593,0.007060041185468435,818,,,,,61707330,2520000,,,,
2020-03-21,164,2245.8928147760726,12111.267259716988,114.0,114,88.34501347708895,109.0,66.0,44.7377323,20.3984402,44.7502643,20.4110759,0.6230168139817234,1.7541426420211792,0.010196905583143234,16646,,,,,42130449,14084346,240000,,,
2020-03-22,18,1871.9577503710984,1736.6310062408447,12.0,12,67.39349593495935,94.0,54.0,,,,,0.3183648723618503,1.6232949495315552,0.0,2642,,,,,50370378,2496556,2280000,,,
2020-03-23,1,1585.768646478653,553.3802318572998,,,70.75208491281273,94.0,56.0,,,,,0.15300599878452117,0.3336781859397888,0.009588523767888546,869,,,,,69559588,1008220,,,,
2020-03-24,29,1676.2497532651175,2143.159455358982,5.0,5,77.95652173913044,85.0,69.0,44.7466724,20.4067662,44.7502551,20.4113797,0.3779176096168208,6.728537082672119,0.007474747486412525,2534,,,,,62319882,1652455,484779,,,
2020-03-25,28,1770.8402506012121,2014.7987971305847,12.0,12,81.08695652173913,94.0,64.0,44.7483738,20.4037051,44.7492872,20.4095881,0.30669771195017087,1.5075652599334717,0.008888889104127884,3244,,,,,54546891,4647730,,,,
2020-03-26,,1790.0957629036216,401.6053001880646,,,76.40126050420169,94.0,47.0,,,,,0.1812636461742521,0.42625439167022705,0.003479853505268693,525,,,,,55102444,600000,1913077,,,
2020-03-27,38,2268.5225418416658,2501.0227134227753,13.0,13,59.75693160813309,106.0,54.0,44.7480843,20.4035481,44.7485493,20.4093756,0.48889342398208446,1.4211149215698242,0.004657428711652756,4352,,,,,45461399,6382979,3480000,,,
2020-03-28,,1665.6947830677893,206.33678197860718,,,71.27556818181819,78.0,60.0,,,,,0.007229344919323921,0.007229344919323921,0.007229344919323921,432,,,,,56394820,2580000,,,,
2020-03-29,1,1645.1694348026626,36.0372428894043,,,75.57894736842105,94.0,68.0,,,,,0.3336781859397888,0.3336781859397888,0.3336781859397888,711,,,,,63232902,3433719,,,,
2020-03-30,68,1818.6991038734934,5378.416408777237,51.0,51,73.5419254658385,85.0,63.0,44.7465354,20.4035377,44.7584906,20.413168,0.45680306752640426,2.0910072326660156,0.006157635245472193,7096,,,,,52005097,5588893,,,,
2020-03-31,,1534.4999607896104,90.0372428894043,,,56.72027972027972,94.0,47.0,,,,,0.19006816246478506,0.31902721524238586,0.001551724155433476,352,,,,,72615443,,,,,
2020-04-01,93,2052.606233975041,6549.240821361542,43.0,43,77.17105263157895,86.0,69.0,44.7457923,20.4034858,44.750229,20.4115186,0.4541104911102559,2.3279576301574707,0.01539792399853468,8981,65.0,65.0,65.0,,44543491,6927796,1409386,,,
2020-04-02,58,1947.8507106838144,4537.454728901386,39.0,39,73.32094594594595,94.0,53.0,44.7467833,20.4035183,44.7550276,20.411573,0.35185796625354426,4.228133201599121,0.004959100391715765,5840,,,,,46581278,3406313,2039221,,,
2020-04-03,127,2163.982506934495,10363.23629528284,95.0,95,74.953125,94.0,63.0,44.747471,20.4013495,44.7629318,20.4157317,0.5596498328967128,2.9173245429992676,0.011581921018660069,13882,,,,,42895605,11956777,1050995,,,
2020-04-04,2,1612.4474098083626,260.33342695236206,,,66.16666666666667,93.0,47.0,,,,,0.37059850142350614,0.7330942749977112,0.004190295934677124,545,,,,,56210910,1321475,91364,,,
2020-04-05,7,1569.5358441352498,686.9104766845703,1.0,1,78.90625,94.0,48.0,,,,,0.29832311803098516,2.774949550628662,0.007782897911965847,1088,,,,,52618013,688996,,,,
2020-04-06,49,1971.0338536513284,4282.391921877861,38.0,38,77.61842105263158,94.0,70.0,44.7465794,20.4035385,44.7541033,20.4110594,0.4184156396835099,5.284432411193848,0.008397933095693588,5720,,,,,72288669,4006001,2940000,,,
